id,keywords,date,keywords_normalized
39409535,[],20-02-2024,[]
39409650,"['Vision models', 'Ollama', 'Language models', 'Windows', 'GPU', 'Preview']",20-02-2024,"['Vision models', 'Ollama', 'Language models', 'Windows', 'GPU', 'Preview']"
39409653,"['Solar farm', 'Renewable energy', 'Climate change', 'Job creation', 'Infrastructure development']",20-02-2024,"['Solar farm', 'Renewable energy', 'Climate change', 'Job creation', 'Infrastructure development']"
39413972,"['Gitlab', 'Postgres', 'Schema', 'Microframework', 'DevOps', 'Postgres', 'Gitlab', 'DevOps', 'SQL']",20-02-2024,"['Gitlab', 'Postgres', 'Schema', 'Microframeworks', 'DevOps', 'Postgres', 'Gitlab', 'DevOps', 'SQL']"
39414532,"['Control Vector', 'AI', 'Model Behavior Inference', 'the Center for AI Safety', 'Prompt Engineering', 'AI Interpretability', 'Representation Engineering']",20-02-2024,"['Control Vector', 'AI', 'Model Behavior Inference', 'the Center for AI Safety', 'Prompt Engineering', 'AI Interpretability', 'Representation Engineering']"
39415234,"['Hugo Awards', 'Censorship', 'China', 'Transparency', 'Trust']",20-02-2024,"['Hugo Awards', 'Censorship', 'China', 'Transparency', 'Trust']"
39416543,"['Code minimalism', 'Microframeworks', 'Vanilla HTML', 'Modular interfaces', 'CTO']",20-02-2024,"['Minimalism', 'Microframeworks', 'Vanilla HTML', 'Modular interfaces', 'CTO']"
39421090,"['Code editor', 'Remote development', 'Syntax highlighting', 'Code intelligence', 'Rust-powered', 'GUI']",20-02-2024,"['Code editor', 'Remote development', 'Syntax highlighting', 'Code intelligence', 'Rust-powered', 'GUI']"
39423949,"['Personal insights', 'Google rankings', 'Google', 'Hacker News', 'Forum ranking', '""Hidden gem"" update']",20-02-2024,"['Personal insights', 'Google rankings', 'Google', 'Hacker News', 'Forum ranking', '""Hidden gem"" update']"
39424688,"['Vanilla HTML', 'Content quality', 'Small platforms', 'Modularity', 'YouTube', 'WhatsApp', 'Microframeworks', 'Signal']",20-02-2024,"['Vanilla HTML', 'Content quality', 'Small platforms', 'Modularity', 'YouTube', 'WhatsApp', 'Microframeworks', 'Signal']"
39426631,"['API', 'Visual editor', 'Rendering features', 'Spine', 'Cross-platform', 'Game engine']",20-02-2024,"['API', 'Visual editor', 'Rendering features', 'Spine', 'Cross-platform', 'Game engine']"
39427876,"['Spotify', 'Redesign', 'Pricing changes', 'Personalization', 'User experience']",20-02-2024,"['Spotify', 'Redesign', 'Pricing changes', 'Personalization', 'User experience']"
39428409,"['Deductive reasoning', 'User interface improvements', 'the Firefox-UI-Fix', 'Familiarity and comfortability', 'GitHub', 'Firefox v89', 'Proton UI']",20-02-2024,"['Deductive reasoning', 'User interface improvements', 'the Firefox-UI-Fix', 'Familiarity and comfortability', 'GitHub', 'Firefox v89', 'Proton UI']"
39428880,"['AI language interface', 'Natural language processing', 'Machine learning', 'Interaction between humans and technology', 'Intuitive computing', 'GroqLabs']",20-02-2024,"['AI language interface', 'Natural language processing', 'Machine learning', 'Interaction between humans and technology', 'Intuitive computing', 'GroqLabs']"
39429370,"['Microframework', 'Vanilla HTML', 'Modular interfaces', 'Code minimalism', 'Swappable pages']",20-02-2024,"['Microframeworks', 'Vanilla HTML', 'Modular interfaces', 'Minimalism', 'Swappable pages']"
39430095,"['Cancellation policy', 'Digital access', 'Tagrisso', 'Non-small cell lung cancer', 'Financial Times', 'Drug cost']",20-02-2024,"['Cancellation policy', 'Digital access', 'Tagrisso', 'Non-small cell lung cancer', 'Financial Times', 'Drug cost']"
39432876,"['Productivity', 'Task management', 'Prioritization', 'Time management', 'Minimalism']",20-02-2024,"['Productivity', 'Task management', 'Prioritization', 'Time management', 'Minimalism']"
39433451,"['Editorial decisions', 'Algorithm updates', 'Search result quality', 'Independent sites', 'Media publishers', 'HouseFresh', 'Google']",20-02-2024,"['Editorial decisions', 'Algorithm updates', 'Search result quality', 'Independent sites', 'Media publishers', 'HouseFresh', 'Google']"
39435320,"['AI', 'Industry applications', 'Machine learning', 'Artificial intelligence', 'Algorithm enhancements', 'Investments']",20-02-2024,"['AI', 'Industry applications', 'Machine learning', 'Artificial intelligence', 'Algorithm enhancements', 'Investments']"
39436358,"['Voicemail greeting', 'IKEA', 'PBX', 'DTMF tones', 'Call screening', 'DTMF', 'Spam robocalls']",20-02-2024,"['Voicemail greeting', 'IKEA', 'PBX', 'DTMF tones', 'Call screening', 'DTMF', 'Spam robocalls']"
39439655,"['Canvas rendering', 'WASM', 'Microframeworks', 'JavaScript', 'Modular interfaces', 'Disney World', 'API', 'WebAssembly (WASM)', 'A-Frame', 'WebAssembly', 'OpenStreetMap']",21-02-2024,"['Canvas rendering', 'WASM', 'Microframeworks', 'JavaScript', 'Modular interfaces', 'Disney World', 'API', 'WebAssembly (WASM)', 'A-Frame', 'WebAssembly', 'OpenStreetMap']"
39440179,"['Simple architecture', 'Microframeworks', 'Modular interfaces', 'Vanilla HTML', 'Scalability', 'CRUD']",20-02-2024,"['Simple architecture', 'Microframeworks', 'Modular interfaces', 'Vanilla HTML', 'Scalability', 'CRUD']"
39442273,"['Scrapy', 'Web scraping', 'Selenium', 'JavaScript', 'BeautifulSoup', 'Scrapy, Selenium', 'Python libraries']",21-02-2024,"['Scrapy', 'Web scraping', 'Selenium', 'JavaScript', 'BeautifulSoup', 'Scrapy, Selenium', 'Python libraries']"
39442429,"['Threat intelligence', 'Microsoft', 'Data protection', 'Privacy', 'Cybersecurity', 'AI tools', 'AI']",21-02-2024,"['Threat intelligence', 'Microsoft', 'Data protection', 'Privacy', 'Cybersecurity', 'AI tools', 'AI']"
39443679,"['Flash storage', 'SATA', 'Parallel access', 'Interface speed', 'Throughput', 'SSD']",20-02-2024,"['Flash storage', 'SATA', 'Parallel access', 'Interface speed', 'Throughput', 'SSD']"
39443965,"['Tokenizer', 'LLM', 'Language analysis and manipulation', 'Large Language Models (LLMs)', 'Sequential text', 'Large Language Models', 'Discrete tokens or chunks']",20-02-2024,"['Tokenizer', 'LLM', 'Language analysis and manipulation', 'Large Language Models (LLMs)', 'Sequential text', 'Large Language Models', 'Discrete tokens or chunks']"
39444500,"['Signal', 'Contact initiation', 'Privacy', 'Username', 'Default settings', 'Phone numbers']",20-02-2024,"['Signal', 'Contact initiation', 'Privacy', 'Username', 'Default settings', 'Phone numbers']"
39446537,"['Multilayer boards', 'LED circuit boards', 'Blind and buried vias', 'Microframeworks', 'Sandwich technology']",21-02-2024,"['Multilayer boards', 'LED circuit boards', 'Blind and buried vias', 'Microframeworks', 'Sandwich technology']"
39447041,"['Kagi HQ', 'Twitter', 'Game updates', 'Community engagement', 'Discord']",20-02-2024,"['Kagi HQ', 'Twitter', 'Game updates', 'Community engagement', 'Discord']"
39449424,"['Minimalist aesthetic', 'Architectural design', 'Modern home construction', 'Low maintenance cost', 'Flexible layout options']",22-02-2024,"['Minimalist aesthetic', 'Architectural design', 'Modern home construction', 'Low maintenance cost', 'Flexible layout options']"
39449748,"['Semiconductors', 'Advanced chips', 'Supply chain security', 'Chip-making industry', 'Japan', 'Rapidus Corp.']",22-02-2024,"['Semiconductors', 'Advanced chips', 'Supply chain security', 'Chip-making industry', 'Japan', 'Rapidus Corp.']"
39452494,"['Product safety', 'Security research tools', 'Government regulation', 'Innovation stifling', 'Modular interfaces']",23-02-2024,"['Product safety', 'Security research tools', 'Government regulation', 'Innovation stifling', 'Modular interfaces']"
39453271,"['Code minimalism', 'Google', 'Google DeepMind', 'Vanilla HTML', 'DeepMind', 'Microframeworks', 'Modular interfaces']",23-02-2024,"['Minimalism', 'Google', 'Google DeepMind', 'Vanilla HTML', 'DeepMind', 'Microframeworks', 'Modular interfaces']"
39453660,"['Security', 'Encryption', 'Elliptic Curve', 'Quantum attacks', 'Apple', 'RSA', 'Cryptography', 'Messaging protocols']",23-02-2024,"['Security', 'Encryption', 'Elliptic Curve', 'Quantum attacks', 'Apple', 'RSA', 'Cryptography', 'Messaging protocols']"
39457974,[],24-02-2024,[]
39458264,"['Context size', 'Video inputs', 'Google', 'AI model series', 'Gemini Pro', 'Book identification']",24-02-2024,"['Context size', 'Video inputs', 'Google', 'AI model series', 'Gemini Pro', 'Book identification']"
39462516,"['Startups', ""Rocket Lab's"", 'Representation', 'Founders', 'Naming conventions', 'Mark Rocket']",24-02-2024,"['Startups', ""Rocket Lab's"", 'Representation', 'Founders', 'Naming conventions', 'Mark Rocket']"
39465230,"['Solar charging', 'NASA', 'CST', 'Orbit insertion', 'Telemetry', 'Lunar lander', 'Terrain navigation']",24-02-2024,"['Solar charging', 'NASA', 'CST', 'Orbit insertion', 'Telemetry', 'Lunar lander', 'Terrain navigation']"
39465250,"['Right-wing figures', 'Google', 'Inaccurate depictions', 'Google Gemini AI', 'Racial and gender diversity', 'Historical accuracy']",24-02-2024,"['Right-wing figures', 'Google', 'Inaccurate depictions', 'Google Gemini AI', 'Racial and gender diversity', 'Historical accuracy']"
39465517,"['Unknown cause', 'Cellular outage', 'AT&T users', 'Thousands affected', 'Disrupted services', 'AT&T']",24-02-2024,"['Unknown cause', 'Cellular outage', 'AT&T users', 'Thousands affected', 'Disrupted services', 'AT&T']"
39466630,"['Multi-subject prompts', 'Safeguards', '8B', 'Image quality', 'Text-to-image model', 'Stable Diffusion 3', 'AI']",24-02-2024,"['Multi-subject prompts', 'Safeguards', '8B', 'Image quality', 'Text-to-image model', 'Stable Diffusion 3', 'AI']"
39470381,"['ACPI', 'BIOS/UEFI', 'TPM', 'PMC', 'USB emulation', 'PSF', 'ThinkPad', 'Boot Guard', 'Raw Gadget', 'USB', 'Linux kernel drivers', 'xDCI', 'ThinkPad X1 Carbon', 'Custom backend', 'PCH', 'NVRAM', 'IOSF', 'P2SB']",24-02-2024,"['ACPI', 'BIOS/UEFI', 'TPM', 'PMC', 'USB emulation', 'PSF', 'ThinkPad', 'Boot Guard', 'Raw Gadget', 'USB', 'Linux kernel drivers', 'xDCI', 'ThinkPad X1 Carbon', 'Custom backend', 'PCH', 'NVRAM', 'IOSF', 'P2SB']"
39471116,"['User hosting providers', 'Data sovereignty', 'Interconnected services', 'Decentralized data storage', 'Federated social network']",24-02-2024,"['User hosting providers', 'Data sovereignty', 'Interconnected services', 'Decentralized data storage', 'Federated social network']"
39471221,"['Code minimalism', 'JavaScript', 'JavaScript file size', 'Vanilla HTML', 'Modular interfaces', 'Microframeworks']",24-02-2024,"['Minimalism', 'JavaScript', 'JavaScript file size', 'Vanilla HTML', 'Modular interfaces', 'Microframeworks']"
39471388,"['AI answer engine', 'HumanEval', 'GPT-4 Turbo', 'CodeLlama-70B', 'Phind-70B', 'Phind', 'AI']",24-02-2024,"['AI answer engine', 'HumanEval', 'GPT-4 Turbo', 'CodeLlama-70B', 'Phind-70B', 'Phind', 'AI']"
39471568,"['Stock price', 'Company restructuring', 'Paramount', 'Profits', 'Layoffs', 'Super Bowl', 'Job market']",24-02-2024,"['Stock price', 'Company restructuring', 'Paramount', 'Profits', 'Layoffs', 'Super Bowl', 'Job market']"
39472693,[],24-02-2024,[]
39474467,"['fal.ai', 'Code minimalism', 'SDXL API', 'Interactive testing', 'Demo platform', 'API', 'Developer tools']",24-02-2024,"['fal.ai', 'Minimalism', 'SDXL API', 'Interactive testing', 'Demo platform', 'API', 'Developer tools']"
39474909,"['NASA', 'Moon landing', 'Odysseus spacecraft', 'NASA partnership', 'Nasa', 'Lunar missions', 'Intuitive Machines']",24-02-2024,"['NASA', 'Moon landing', 'Odysseus spacecraft', 'NASA partnership', 'Nasa', 'Lunar missions', 'Intuitive Machines']"
39476074,"['Shock', 'Media outlet', 'Vice', 'Shutdown', 'Surprise']",24-02-2024,"['Shock', 'Media outlet', 'Vice', 'Shutdown', 'Surprise']"
39479001,"['Parcel delivery notifications', 'Phishing attacks', 'Online security', 'FedEx scams', 'Verifying requests']",24-02-2024,"['Parcel delivery notifications', 'Phishing attacks', 'Online security', 'FedEx scams', 'Verifying requests']"
39480407,"['@aalto.fi', 'Satoshi Nakamoto', 'Sirius', 'Email correspondence', 'Vanilla HTML', 'Modular interfaces', 'Microframeworks']",24-02-2024,"['@aalto.fi', 'Satoshi Nakamoto', 'Sirius', 'Email correspondence', 'Vanilla HTML', 'Modular interfaces', 'Microframeworks']"
39481554,"['2B', 'C++ inference engine', 'Minimalism', 'Google', 'Gemma models', 'Modular interfaces', 'Microframeworks']",24-02-2024,"['2B', 'C++ inference engine', 'Minimalism', 'Google', 'Gemma models', 'Modular interfaces', 'Microframeworks']"
39483482,"['GitHub', 'Code minimalism', 'Robotics', 'Modularity', 'Vanilla HTML', 'Discord', 'Microframeworks']",24-02-2024,"['GitHub', 'Minimalism', 'Robotics', 'Modularity', 'Vanilla HTML', 'Discord', 'Microframeworks']"
